"Path","FileName","Classes","ImportRefs","SymbolRefs","IsZeroReferenced"
"C:/Users/MSI/Downloads/AgoraX/lib/screens/store/checkout_screen.dart","checkout_screen.dart","CheckoutScreen, _CheckoutScreenState","6","5","False"
"C:/Users/MSI/Downloads/AgoraX/lib/services/user/user_profile_cache_manager.dart","user_profile_cache_manager.dart","UserProfileCacheManager","76","70","False"
"C:/Users/MSI/Downloads/AgoraX/lib/screens/profile/connections_screen.dart","connections_screen.dart","ConnectionsScreen, _ConnectionsScreenState","1","1","False"
"C:/Users/MSI/Downloads/AgoraX/lib/models/room/room_background_model.dart","room_background_model.dart","RoomBackgroundType, AnimatedBackgroundType, RoomBackgroundItem, RoomBackgroundCatalog","6","5","False"
"C:/Users/MSI/Downloads/AgoraX/lib/widgets/skeletons/notification_skeleton_widget.dart","notification_skeleton_widget.dart","NotificationSkeletonWidget","2","1","False"
"C:/Users/MSI/Downloads/AgoraX/lib/widgets/chat/premium_chat_bubble.dart","premium_chat_bubble.dart","BubblePainter, PremiumChatBubble, _PremiumChatBubbleState","1","0","False"
"C:/Users/MSI/Downloads/AgoraX/lib/screens/store/payment_status_screen.dart","payment_status_screen.dart","PaymentStatusScreen, _PaymentStatusScreenState, PointParticle, SuccessSparklePainter","2","1","False"
"C:/Users/MSI/Downloads/AgoraX/lib/services/memberships/vip_controller.dart","vip_controller.dart","VipController","25","25","False"
"C:/Users/MSI/Downloads/AgoraX/lib/screens/profile/quiz_result_screen.dart","quiz_result_screen.dart","QuizResultScreen","1","0","False"
"C:/Users/MSI/Downloads/AgoraX/lib/widgets/memberships/novel_badge_widget.dart","novel_badge_widget.dart","SparklePainter, NovelBadgeWidget, _NovelBadgeWidgetState","8","4","False"
"C:/Users/MSI/Downloads/AgoraX/lib/screens/chat/chats_list_screen.dart","chats_list_screen.dart","ChatsListScreen, _ChatsListScreenState, LiveArenaUser","2","1","False"
